file_name,height,width,date_time,frame,drone,folder_name,video,frame_no,image_name,image_name,datetime(utc),latitude,longitude,height_above_takeoff(meter),speed(m/s),xspeed(m/s),yspeed(m/s),zspeed(m/s),compass_heading(degrees),gimbal_heading(degrees),gimbal_pitch(degrees),date_time,gps_latitude_ref,gps_longitude_ref,altitude,gimbal_pitch,speed,xspeed,yspeed,zspeed,gps_latitude,gps_longitude
3388.jpg,2160,3840,2020-08-25T14:16:21,,mavic,DJI_0032,DJI_0032.MP4,0.0,,DJI_0032_merged.MP4_image0.png,2020-08-25 12:16:22,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,175.8,154.4,-2.5,,,,,,,,,,,
3389.jpg,2160,3840,2020-08-25T14:16:21.467133,,mavic,DJI_0032,DJI_0032.MP4,15.0,,DJI_0032_merged.MP4_image0.png,2020-08-25 12:16:22,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,175.8,154.4,-2.5,,,,,,,,,,,
3390.jpg,2160,3840,2020-08-25T14:16:21.967633,,mavic,DJI_0032,DJI_0032.MP4,30.0,,DJI_0032_merged.MP4_image0.png,2020-08-25 12:16:22,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,175.8,154.4,-2.5,,,,,,,,,,,
3391.jpg,2160,3840,2020-08-25T14:16:22.468133,,mavic,DJI_0032,DJI_0032.MP4,45.0,,DJI_0032_merged.MP4_image0.png,2020-08-25 12:16:22,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,175.8,154.4,-2.5,,,,,,,,,,,
3392.jpg,2160,3840,2020-08-25T14:16:22.968633,,mavic,DJI_0032,DJI_0032.MP4,60.0,,DJI_0032_merged.MP4_image13.png,2020-08-25 12:16:23,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,178.4,156.5,-2.5,,,,,,,,,,,
3393.jpg,2160,3840,2020-08-25T14:16:23.469133,,mavic,DJI_0032,DJI_0032.MP4,75.0,,DJI_0032_merged.MP4_image13.png,2020-08-25 12:16:23,47.673596,9.270249,9.699526973483694,0.0,0.0,0.0,0.0,178.4,156.5,-2.5,,,,,,,,,,,
3394.jpg,2160,3840,2020-08-25T14:16:23.969633,,mavic,DJI_0032,DJI_0032.MP4,90.0,,DJI_0032_merged.MP4_image48.png,2020-08-25 12:16:24,47.673586,9.270251,9.699526973483694,2.817924416629414,-2.7999248994188646,0.299991953509164,-0.09999731783638802,183.2,160.5,4.4,,,,,,,,,,,
3395.jpg,2160,3840,2020-08-25T14:16:24.470133,,mavic,DJI_0032,DJI_0032.MP4,105.0,,DJI_0032_merged.MP4_image48.png,2020-08-25 12:16:24,47.673586,9.270251,9.699526973483694,2.817924416629414,-2.7999248994188646,0.299991953509164,-0.09999731783638802,183.2,160.5,4.4,,,,,,,,,,,
3396.jpg,2160,3840,2020-08-25T14:16:24.970633,,mavic,DJI_0032,DJI_0032.MP4,120.0,,DJI_0032_merged.MP4_image83.png,2020-08-25 12:16:25,47.673554,9.270253,9.699526973483694,3.0069193473401876,-2.9999195350916406,0.19999463567277603,0.0,192.0,170.1,13.4,,,,,,,,,,,
3397.jpg,2160,3840,2020-08-25T14:16:25.471133,,mavic,DJI_0032,DJI_0032.MP4,135.0,,DJI_0032_merged.MP4_image83.png,2020-08-25 12:16:25,47.673554,9.270253,9.699526973483694,3.0069193473401876,-2.9999195350916406,0.19999463567277603,0.0,192.0,170.1,13.4,,,,,,,,,,,
